number,filename,tempo,scale,chromagram,zero_crossing_rate,spectral_rolloff,spectral_centroid,spectral_bandwidth,rmse,danceability,percentile_10,percentile_90,dynamic_comp
86,supercollider/SC_200401_142337.aiff,172.265625,1.0,0.3985059157487356,0.030860829693476984,2402.6871426453454,1411.6103186035925,1768.8573260845594,0.2262933145311555,1.4257512649082607,255.17444876785535,358.9691981691509,1.303714352818179
87,supercollider/SC_200401_142531.aiff,86.1328125,0.0,0.3949036974617108,0.05107868518082385,2582.32895174512,1927.3713491527496,1951.0066389517885,0.12571613861250203,1.4255914214062257,90.05325714429603,212.2773421908283,6.937633500567933
88,supercollider/SC_200401_142752.aiff,107.666015625,1.0,0.35324022500162466,0.04541738441549916,5294.06370992482,2445.054903049583,2910.656910961031,0.16764204677153471,1.2559555804099978,174.4907904482445,262.6434469641273,2.499691304430265
89,supercollider/SC_200401_143002.aiff,129.19921875,0.0,0.6506289516454418,0.015855301232784773,1494.5236119434035,882.894714175708,1347.8208892823573,0.18493794497078034,1.3680267048014911,165.79616731501403,301.1708037319927,2.5989998194037804
90,supercollider/SC_200401_143223.aiff,150.732421875,1.0,0.4858303669916113,0.02852182195370974,2490.000307054381,1335.7869926293492,1746.2657153216735,0.18346289024128937,1.6100655392245211,55.558917392769935,274.61857933954866,2.864918537116242
91,supercollider/SC_200401_143448.aiff,172.265625,0.0,0.5612219897202118,0.022306982749257305,1885.8797228041087,1091.6738562184637,1584.2376669478328,0.22596107930107115,1.6085902697354841,189.05668068353037,313.3699299836502,2.000763521574603
92,supercollider/SC_200401_143737.aiff,86.1328125,1.0,0.45248233708943497,0.03316207068868999,2896.1308543681507,1825.0669211354707,2173.008083088679,0.07227407098255612,2.0422384457255873,46.97716915430432,139.13624402605575,8.876882661824471
93,supercollider/SC_200401_144007.aiff,107.666015625,0.0,0.43734876920925847,0.1779790224463364,8731.68507116711,4492.810923970403,3509.5864389387507,0.08892388000869889,1.4023192489831509,14.103408701054814,182.3725014016918,6.235544736381352
94,supercollider/SC_200401_144304.aiff,129.19921875,1.0,0.40249253643119787,0.035140896671982745,2903.027612014145,1455.9347735942506,1760.9124260045103,0.1484824515824996,1.6948708941215542,131.77833072205215,177.94530632585267,1.808524401807846
95,supercollider/SC_200401_144533.aiff,129.19921875,0.0,0.38394247682735383,0.03566629466549242,2734.075291054828,1473.8887538998583,1832.3418753637322,0.16835682620459724,1.952645030798753,197.34627493723144,201.29118343476014,0.982619913053564
